,Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution
0,0.98,514.5,294.0,127.68664980874384,7.0,2,0.0,0
1,0.98,514.5,294.0,152.18362277349976,7.0,3,0.0,0
2,0.98,514.5,294.0,98.74271424091823,7.0,4,0.0,0
3,0.98,514.5,294.0,133.23075455428418,7.0,5,0.0,0
4,0.9,563.5,318.5,111.21674537908936,7.0,2,0.0,0
5,0.9,563.5,318.5,129.95203965169327,7.0,3,0.0,0
6,0.9,563.5,318.5,146.99699596456674,7.0,4,0.0,0
7,0.9,563.5,318.5,82.858027095022,7.0,5,0.0,0
8,0.86,588.0,294.0,138.92315191817136,7.0,2,0.0,0
9,0.86,588.0,294.0,155.33890975176408,7.0,3,0.0,0
10,0.86,588.0,294.0,124.48467049074833,7.0,4,0.0,0
11,0.86,588.0,294.0,167.0965549156483,7.0,5,0.0,0
12,0.82,612.5,318.5,126.38441541415703,7.0,2,0.0,0
13,0.82,612.5,318.5,128.4667167760913,7.0,3,0.0,0
14,0.82,612.5,318.5,147.87495616935843,7.0,4,0.0,0
15,0.82,612.5,318.5,146.08278300924155,7.0,5,0.0,0
16,0.79,637.0,343.0,166.23897364125312,7.0,2,0.0,0
17,0.79,637.0,343.0,151.9325129858492,7.0,3,0.0,0
18,0.79,637.0,343.0,130.79084588496497,7.0,4,0.0,0
19,0.79,637.0,343.0,101.1194400167678,7.0,5,0.0,0
20,0.76,661.5,416.5,164.92017987087394,7.0,2,0.0,0
21,0.76,661.5,416.5,110.67960331107784,7.0,3,0.0,0
22,0.76,661.5,416.5,132.18360781598392,7.0,4,0.0,0
23,0.76,661.5,416.5,95.96132096058885,7.0,5,0.0,0
24,0.74,686.0,245.0,190.3998640557923,3.5,2,0.0,0
25,0.74,686.0,245.0,239.20303165862146,3.5,3,0.0,0
26,0.74,686.0,245.0,241.21736193706215,3.5,4,0.0,0
27,0.74,686.0,245.0,193.70548723851743,3.5,5,0.0,0
28,0.71,710.5,269.5,235.3714209932695,3.5,2,0.0,0
29,0.71,710.5,269.5,242.67391573696267,3.5,3,0.0,0
30,0.71,710.5,269.5,246.46732455666827,3.5,4,0.0,0
31,0.71,710.5,269.5,249.64687601320486,3.5,5,0.0,0
32,0.69,735.0,294.0,237.361434023193,3.5,2,0.0,0
33,0.69,735.0,294.0,173.98427903490463,3.5,3,0.0,0
34,0.69,735.0,294.0,214.78814751742684,3.5,4,0.0,0
35,0.69,735.0,294.0,230.74738309042704,3.5,5,0.0,0
36,0.66,759.5,318.5,245.23236001292963,3.5,2,0.0,0
37,0.66,759.5,318.5,187.72735089261167,3.5,3,0.0,0
38,0.66,759.5,318.5,238.49529363803708,3.5,4,0.0,0
